date	临潼区	兴庆小区	小寨	市人民体育场	广运潭	曲江文化产业集团	纺织城	经开区	草滩	长安区	阎良区	高压开关厂	
20150331	38.08	22.58	21.50	39.92	29.67	27.18	25.50	31.75	36.92	24.83	40.58	49.33	
20150330	48.82	57.09	44.82	82.18	77.36	56.91	75.73	87.64	74.91	44.45	57.36	65.36	
20150329	40.92	31.33	25.83	50.25	42.83	31.33	44.91	45.17	48.92	30.42	33.33	44.17	
20150328	36.50	23.75	23.67	39.17	30.00	27.67	28.75	32.33	30.67	29.50	27.50	29.92	
20150327	20.73	15.73	20.82	29.73	18.36	21.27	18.09	21.45	22.91	29.18	28.45	20.91	
20150326	35.75	30.00	22.17	47.50	44.25	28.42	40.00	58.75	55.92	27.67	43.92	33.33	
20150325	20.42	13.42	11.00	20.75	18.67	13.25	16.75	22.25	27.42	6.83	24.33	18.00	
20150324	19.17	16.00	13.83	22.92	14.42	16.25	16.08	19.17	23.25	12.33	17.92	15.67	
20150323	45.58	30.58	39.08	50.25	58.42	46.42	51.67	49.92	38.75	58.42	36.33	49.58	
20150322	37.42	24.08	21.00	36.08	35.25	22.83	29.75	32.33	31.83	14.33	31.67	29.42	
20150321	41.42	33.00	26.33	40.50	49.64	32.42	40.50	33.92	32.17	37.67	28.42	23.58	
20150320	43.25	25.25	34.50	46.58	46.33	36.58	49.00	42.75	32.83	45.42	31.33	33.08	
20150319	14.25	10.67	15.33	17.42	8.92	14.75	10.60	9.50	14.67	15.42	11.33	18.25	
20150318	28.92	23.75	24.92	40.50	37.42	27.75	31.50	38.67	46.42	29.58	38.58	36.00	
20150317	30.33	25.75	19.92	35.92	23.50	23.58	31.83	23.08	28.75	35.00	32.42	42.08	
20150316	27.42	31.75	27.17	50.75	38.42	30.92	37.58	40.58	42.83	48.17	38.42	50.67	
20150315	27.08	27.00	14.50	33.00	31.25	17.92	28.33	30.17	40.83	17.75	32.42	30.50	
20150314	36.50	48.08	34.50	66.00	49.00	42.17	56.42	62.25	60.00	50.50	39.42	46.25	
20150313	33.25	36.08	25.92	47.83	45.50	33.00	46.83	41.58	40.00	40.75	28.33	44.58	
20150312	29.08	37.67	37.67	56.75	53.50	45.00	48.83	57.42	54.83	66.58	41.33	47.33	
20150311	23.00	25.75	25.00	42.58	35.33	28.00	34.25	37.00	32.92	37.92	27.58	35.83	
20150310	24.08	30.75	23.25	37.00	32.25	27.42	35.00	35.42	36.00	26.67	28.33	29.58	
20150309	26.83	28.67	20.50	35.75	36.67	26.83	34.58	32.83	31.83	29.00	24.92	23.42	
20150308	43.00	55.00	51.00	89.00	88.00	63.00	84.00	83.00	74.00	86.00	53.00	62.00	
20150303	32.33	52.33	36.00	70.33	66.67	43.67	68.00	73.67	55.33	57.67	37.33	39.00	
20150209	17.50	15.75	9.00	21.00	17.25	9.00	11.25	34.75	37.50	6.50	22.75	15.25	
20150208	22.25	25.08	19.92	33.33	28.42	19.25	26.92	29.50	27.00	21.17	21.75	25.42	
20150207	24.50	22.92	25.17	38.18	30.83	25.42	28.08	35.92	27.83	34.83	22.08	27.67	
20150206	12.42	15.50	17.17	27.17	13.75	15.58	15.33	19.75	19.83	20.42	17.25	23.92	
