date	临潼区	兴庆小区	小寨	市人民体育场	广运潭	曲江文化产业集团	纺织城	经开区	草滩	长安区	阎良区	高压开关厂	
20150513	30.00	58.33	54.00	80.67	30.67	53.00	53.00	52.67	53.67	33.67	65.67	53.00	
20150512	39.27	27.64	33.36	34.18	22.73	33.00	36.00	36.82	44.00	26.91	27.82	37.18	
20150511	15.67	17.50	20.25	19.83	10.92	19.67	22.33	17.25	20.58	16.92	11.25	16.67	
20150510	46.50	26.50	32.17	55.08	35.00	32.58	37.25	40.00	41.58	37.25	36.08	32.75	
20150509	32.42	27.33	31.43	40.67	26.75	31.17	35.58	30.50	34.08	46.92	24.50	26.17	
20150508	24.33	18.00	27.91	35.00	16.25	23.83	32.17	28.25	38.50	41.33	22.50	22.17	
20150507	50.42	40.83	44.25	61.25	43.42	50.67	60.92	45.67	56.92	41.75	42.83	45.25	
20150506	28.17	26.17	28.33	33.17	24.64	26.92	39.58	25.50	32.42	25.58	18.08	24.67	
20150505	21.00	22.50	45.00	47.00	24.50	51.00	33.50	29.00	32.50	42.00	18.50	42.50	
20150504	52.00	19.75	24.38	32.12	20.14	26.38	29.00	36.88	61.88	22.25	33.88	28.25	
20150503	�	23.91	23.91	38.55	25.55	26.36	33.82	30.00	34.18	23.09	27.73	27.82	
20150502	14.50	24.83	25.58	33.75	26.50	29.83	30.92	29.50	34.67	24.75	27.25	27.42	
20150501	42.00	27.83	29.75	44.00	20.08	31.00	45.08	32.50	39.25	35.36	29.17	28.58	
20150430	66.75	44.50	47.08	74.58	57.17	56.00	55.92	47.75	52.50	61.30	45.83	44.50	
20150429	49.92	41.42	40.92	68.00	63.82	49.17	52.83	49.08	53.08	46.42	44.92	45.91	
20150428	19.00	36.00	39.00	36.00	62.00	30.00	39.00	29.00	31.00	33.00	45.00	25.00	
20150427	29.33	26.08	26.67	43.50	47.78	29.83	32.00	32.17	�	25.92	33.00	30.75	
20150426	48.75	29.00	32.58	54.08	47.42	36.33	38.08	50.92	49.00	31.17	41.83	47.08	
20150425	53.42	37.83	35.08	61.58	58.33	38.92	49.67	58.33	56.33	32.58	71.00	50.92	
20150424	30.75	24.17	32.08	45.17	34.75	37.33	39.17	45.25	58.50	28.67	39.25	43.08	
20150423	38.67	23.50	43.10	49.75	35.67	34.50	37.75	50.25	50.42	31.42	39.55	42.42	
20150422	26.25	24.29	25.75	29.58	22.75	30.42	29.83	32.67	40.11	26.92	28.17	29.00	
20150421	11.92	7.92	11.00	13.17	8.00	9.33	15.50	14.50	18.33	11.50	10.67	11.92	
20150420	37.42	31.42	27.50	27.00	38.42	32.17	29.83	44.00	39.83	33.25	32.00	32.75	
20150419	19.45	13.80	18.18	22.00	23.45	19.00	26.64	34.09	27.09	24.09	19.45	22.18	
20150418	57.25	66.75	52.25	48.25	67.25	53.08	63.75	92.83	61.58	76.33	58.25	51.42	
20150417	72.00	67.67	51.67	49.67	45.67	67.00	73.33	95.00	49.00	67.33	63.33	54.33	
20150407	�	30.33	34.67	41.00	40.33	38.33	37.33	41.33	29.33	34.00	55.33	47.67	
