rank	city	AQI	PM2.5	PM10	CO	NO2	O3/1	O3/8	SO2
86	昆山	24.67	16.67	35.00	17.75	13.00	50.50	51.00	10.00
87	昆明	90.75	55.44	86.57	4.99	53.75	29.62	48.14	31.43
88	曲靖	53.00	24.57	41.00	29.81	43.00	64.33	94.50	16.50
89	本溪	69.57	44.02	69.33	3.37	58.71	20.57	18.17	73.50
90	杭州	43.08	30.75	31.67	3.17	30.08	33.00	29.09	10.09
91	枣庄	96.60	57.73	93.20	4.92	24.80	23.60	28.00	28.50
92	柳州	82.14	51.97	60.00	7.94	27.86	40.86	51.67	14.17
93	株洲	29.00	18.12	26.00	1.80	36.88	6.17	5.14	22.86
94	桂林	42.60	31.00	39.67	8.49	25.60	38.00	37.50	12.50
95	梅州	55.75	29.74	43.75	2.98	27.25	9.00	9.33	8.33
96	武汉	51.91	33.44	23.00	3.53	23.55	26.45	21.10	7.67
97	汕头	42.71	26.00	45.29	12.11	13.43	71.83	80.33	8.33
98	汕尾	52.00	27.44	21.00	21.32	32.25	64.25	97.33	7.33
99	江门	72.20	41.98	53.80	7.91	39.60	32.60	48.50	19.00
100	江阴	38.25	22.50	42.00	10.91	19.75	38.67	42.67	17.00
101	沈阳	147.92	101.79	150.25	2.24	63.58	24.75	17.36	171.73
102	沧州	67.75	34.82	78.25	2.46	60.25	29.00	12.33	105.67
103	河源	91.25	50.98	58.00	17.69	31.00	53.50	29.33	9.00
104	泉州	28.20	20.40	33.00	11.07	16.40	58.75	53.25	3.25
105	泰安	74.25	38.75	66.33	3.51	44.75	24.00	15.33	70.33
106	泰州	40.00	20.80	45.25	10.28	16.80	41.00	48.00	20.50
107	泸州	172.00	104.63	128.40	2.10	32.20	8.00	6.75	17.50
108	洛阳	55.38	34.87	40.17	4.22	30.12	27.62	16.86	35.43
109	济南	79.44	48.83	92.44	2.38	58.89	17.78	25.50	75.38
110	济宁	58.25	24.46	56.00	4.15	27.00	16.75	25.33	23.33
111	海口	30.33	18.50	31.33	6.59	6.50	31.80	37.40	4.40
112	海门	28.33	11.33	45.00	21.60	4.33	66.00	64.50	10.50
113	淄博	64.67	35.55	62.20	5.57	28.67	30.00	28.40	41.40
114	淮安	51.17	17.49	44.33	8.94	13.00	43.33	45.60	13.60
115	深圳	46.73	31.73	59.33	8.38	13.82	82.60	82.40	4.56
116	清远	148.75	85.11	132.25	3.83	55.25	13.75	25.33	22.33
117	温州	42.20	30.40	39.00	6.88	23.40	29.25	31.75	6.25
118	渭南	64.20	36.36	50.25	5.43	21.40	24.40	25.75	23.50
119	湖州	55.75	29.62	19.00	10.37	24.50	30.75	40.67	2.33
120	湘潭	86.38	57.06	42.00	2.71	27.12	11.75	6.86	11.71
121	湛江	42.43	26.86	45.00	13.91	7.43	94.33	90.17	6.33
122	溧阳	32.33	21.00	38.33	14.17	17.00	46.50	42.50	7.00
