date	临潼区	兴庆小区	小寨	市人民体育场	广运潭	曲江文化产业集团	纺织城	经开区	草滩	长安区	阎良区	高压开关厂	
20150331	49.92	57.33	83.92	90.42	102.17	84.73	100.00	77.42	78.00	78.42	68.25	104.00	
20150330	42.45	35.55	51.73	50.09	53.73	45.29	71.18	43.82	37.82	70.18	46.55	63.82	
20150329	53.00	52.50	68.83	66.25	54.17	64.75	98.42	58.75	45.50	71.67	55.42	86.17	
20150328	30.17	25.17	36.17	44.42	40.17	30.92	39.33	41.42	50.25	31.08	51.25	51.91	
20150327	57.09	47.36	53.09	79.91	71.89	50.00	58.00	77.55	72.27	40.55	62.73	80.91	
20150326	23.00	32.25	37.58	45.17	37.67	26.42	27.67	39.33	27.08	34.08	29.08	51.08	
20150325	42.92	109.25	57.42	71.75	54.00	44.50	60.75	78.92	55.08	51.67	57.33	53.75	
20150324	51.83	37.57	59.42	72.92	62.25	52.88	61.70	84.33	56.67	51.83	67.50	62.10	
20150323	27.25	18.67	24.92	33.58	37.17	22.67	31.00	45.25	31.42	22.42	32.08	28.00	
20150322	41.75	48.00	58.33	69.75	46.67	57.00	60.17	75.17	45.50	56.25	35.00	69.83	
20150321	31.58	26.17	33.17	33.50	23.91	32.08	36.82	56.25	52.50	32.75	36.17	40.50	
20150320	24.08	23.09	25.17	27.17	21.50	23.42	78.75	28.58	24.42	23.50	24.75	24.83	
20150319	40.17	39.00	42.50	58.67	37.92	36.50	45.40	40.57	50.25	31.08	60.17	43.92	
20150318	46.67	43.00	56.50	66.00	64.92	46.92	95.25	107.71	40.67	49.00	49.00	49.58	
20150317	94.00	87.17	136.92	151.92	102.08	113.17	123.00	130.00	97.25	115.67	85.17	110.00	
20150316	95.50	108.33	164.58	193.33	173.08	139.50	142.75	158.75	114.17	109.25	81.00	130.17	
20150315	93.42	80.08	112.83	125.42	77.50	97.67	116.08	123.50	84.25	90.17	97.00	107.17	
20150314	79.58	60.00	84.33	99.00	62.25	77.83	86.42	87.58	65.42	72.17	75.67	71.83	
20150313	60.33	52.25	87.58	93.25	60.75	68.25	75.08	95.50	67.09	64.67	78.75	78.50	
20150312	51.92	49.00	61.25	78.83	73.58	52.58	74.00	70.50	52.11	48.50	59.83	61.17	
20150311	50.58	45.67	54.33	70.50	49.50	55.67	61.17	60.67	48.50	52.58	45.83	53.00	
20150310	52.17	43.25	50.75	58.67	36.00	60.67	57.09	50.83	32.75	54.08	33.75	51.67	
20150309	37.83	30.58	36.50	43.17	22.42	37.58	46.33	39.00	29.42	39.75	26.50	36.00	
20150308	18.00	20.00	27.00	38.00	38.00	28.00	32.00	25.00	26.00	31.00	24.00	23.00	
20150303	34.67	27.33	26.33	33.67	12.33	40.33	48.00	34.67	28.67	35.67	12.67	45.67	
20150209	37.25	36.00	45.50	49.75	32.50	50.00	46.50	36.00	26.75	53.25	32.00	44.50	
20150208	36.92	30.08	40.83	51.92	38.00	41.83	46.92	37.83	31.00	43.67	30.58	42.17	
20150207	29.33	27.83	33.83	78.27	26.00	34.17	37.58	34.75	40.33	37.09	35.67	31.50	
20150206	55.25	42.58	58.42	71.43	50.42	52.58	63.75	69.83	59.33	49.30	48.67	65.67	
