date	临潼区	兴庆小区	小寨	市人民体育场	广运潭	曲江文化产业集团	纺织城	经开区	草滩	长安区	阎良区	高压开关厂	
20150513	55.67	34.33	37.00	53.67	39.33	42.67	40.00	42.33	51.33	59.67	31.67	50.00	
20150512	49.09	36.36	42.18	56.64	58.00	44.55	42.18	46.09	38.36	57.82	35.45	45.00	
20150511	55.67	35.25	48.58	58.67	62.25	49.83	55.83	50.25	43.50	60.42	43.75	45.83	
20150510	60.25	52.42	49.83	67.17	73.33	58.50	70.75	68.08	73.17	44.08	58.58	60.58	
20150509	58.42	45.33	77.71	73.42	61.58	57.33	63.42	67.83	68.42	61.92	53.08	63.83	
20150508	54.42	43.33	54.82	67.42	64.58	61.58	61.33	63.92	58.00	64.92	43.42	65.25	
20150507	45.92	30.08	30.42	46.33	40.50	34.00	36.50	38.08	41.00	41.00	30.92	40.42	
20150506	71.42	55.58	54.33	88.92	69.91	67.25	69.00	69.50	68.08	79.75	61.08	82.83	
20150505	81.50	93.00	93.00	155.50	120.00	117.50	118.00	123.00	113.50	147.50	94.00	145.00	
20150504	62.00	26.62	24.00	35.75	35.57	33.88	31.00	18.50	19.62	37.12	17.12	26.00	
20150503	�	35.91	41.18	56.27	50.91	50.55	52.09	48.91	53.91	58.73	35.00	48.82	
20150502	33.00	27.50	32.17	42.92	50.50	41.75	45.08	39.33	38.08	49.00	30.17	41.67	
20150501	58.00	36.50	47.92	63.50	69.17	59.00	60.67	53.83	58.92	71.67	49.58	52.17	
20150430	66.33	75.83	73.50	107.92	94.67	97.58	117.33	103.25	105.83	100.75	85.33	104.25	
20150429	56.33	47.83	46.50	78.58	65.64	63.50	67.33	81.58	80.25	55.33	74.58	74.64	
20150428	75.00	68.00	92.00	126.00	101.00	135.00	115.00	111.00	106.00	134.00	94.00	126.00	
20150427	54.75	33.75	45.33	58.83	48.44	59.33	63.08	54.25	�	68.00	57.08	54.33	
20150426	53.00	44.00	42.08	72.08	59.50	57.83	64.83	59.00	58.50	67.83	46.17	61.50	
20150425	52.25	48.33	39.50	70.67	53.50	57.92	65.42	54.25	68.33	68.42	56.75	55.58	
20150424	52.75	43.83	37.25	69.00	61.92	50.33	59.25	63.58	46.00	63.67	38.92	42.83	
20150423	40.67	34.00	39.60	56.67	46.17	38.83	49.42	51.67	45.33	53.25	37.91	16.22	
20150422	42.75	41.29	24.42	42.75	52.83	31.67	36.08	36.50	33.92	42.83	29.75	40.08	
20150421	59.83	47.92	54.33	84.58	84.25	69.83	80.75	82.33	63.33	90.33	53.50	35.75	
20150420	38.42	29.83	29.67	46.42	41.92	41.92	45.83	43.83	42.67	45.50	43.50	26.20	
20150419	40.09	33.80	36.36	52.82	57.27	44.18	47.27	50.73	46.82	60.82	35.09	24.18	
20150418	27.67	13.00	15.83	23.83	21.67	18.75	20.92	19.58	26.33	21.17	28.33	18.08	
20150417	44.67	32.67	21.33	51.33	62.00	31.00	50.67	71.33	61.33	29.00	61.00	25.00	
20150407	�	20.67	18.67	34.67	31.33	20.33	34.33	25.33	25.00	36.67	33.00	20.67	
