name,AQI,PM2.5,PM10,CO,CO2,O3/1,O3/8,SO2
轻度污染,115,87,131,3.105,28,15,24,11
良,92,55,134,3.073,63,22,15,61
良,76,19,102,2.555,31,43,48,10
良,75,35,99,2.558,7,64,45,13
良,89,62,127,4.774,88,8,38,33
良,100,67,149,2.831,15,49,55,26
良,89,53,127,2.793,50,21,10,53
良,98,70,145,3.647,51,14,9,55
良,92,53,134,3.934,41,10,8,24
良,100,68,150,3.538,70,49,34,40
良,75,30,100,3.248,66,13,40,24
良,97,34,143,3.104,38,11,18,35
良,74,21,97,2.558,16,57,41,7
良,92,68,110,3.167,32,23,11,13
良,95,53,139,2.531,73,52,30,37
良,77,37,104,3.016,35,43,17,26
良,78,31,105,2.256,40,54,28,26
轻度污染,104,63,157,3.088,40,15,21,26
轻度污染,102,67,154,3.145,41,11,18,17
轻度污染,102,76,154,3.627,39,9,8,39
良,97,50,144,3.106,45,17,23,28
良,86,46,122,4.301,53,7,7,15
良,77,34,103,3.872,47,11,9,46
良,84,62,101,1.286,75,27,25,22
良,75,24,100,3.026,85,12,37,17
良,67,20,83,2.266,27,50,22,12
良,85,47,119,2.827,51,10,8,39
良,67,37,83,4.121,68,7,47,13
良,74,20,97,2.432,14,48,29,8
良,86,62,121,2.606,36,59,30,26
轻度污染,102,25,153,2.379,22,42,38,11
良,88,65,124,0.969,37,62,36,15
良,67,30,84,2.906,19,48,29,16
良,93,52,135,3.301,36,7,9,18
良,81,38,111,3.512,35,8,9,25
良,84,55,118,1.23,33,53,22,20
轻度污染,104,61,157,3.33,30,31,22,24
良,75,36,99,3.4,44,7,17,28
良,92,36,133,3.376,34,12,15,48
良,80,30,109,3.156,65,8,28,17
良,76,25,101,2.86,25,30,22,26
良,71,50,91,2.958,13,65,31,11
轻度污染,109,66,167,3.231,35,11,10,27
良,74,23,98,3.015,37,20,22,30
良,71,22,92,2.923,41,15,25,27
良,66,19,82,2.345,37,47,34,10
良,79,32,107,4.044,54,7,18,20
良,68,26,86,2.975,37,34,13,36
轻度污染,123,26,196,2.827,16,37,35,10
轻度污染,148,31,246,2.489,29,32,43,24
中度污染,172,130,238,2.459,83,7,24,25
轻度污染,142,108,231,3.561,30,30,22,53
良,85,39,120,2.28,27,29,18,20
轻度污染,126,91,201,3.197,65,9,10,52
轻度污染,140,107,157,3.607,35,7,9,13
轻度污染,103,77,142,2.223,60,12,9,47
轻度污染,144,110,161,3.295,35,10,9,16
轻度污染,120,62,189,3.668,64,7,24,51
轻度污染,127,96,170,2.638,88,7,18,32
轻度污染,124,94,165,1.758,72,7,12,18
轻度污染,124,94,179,3.43,72,9,16,35
轻度污染,103,31,155,2.706,33,26,26,18
轻度污染,118,26,185,2.929,21,35,35,14
轻度污染,124,94,168,3.234,57,8,8,23
轻度污染,122,92,125,3.183,25,29,22,32
轻度污染,112,57,173,3.223,32,49,28,30
轻度污染,113,63,175,4.064,38,7,7,25
轻度污染,118,28,186,3.007,34,25,33,17
轻度污染,112,84,146,1.839,63,7,8,15
轻度污染,102,32,153,2.742,32,21,21,29
良,76,26,101,3.063,79,7,23,15
轻度污染,128,97,198,3.023,33,13,15,12
良,75,27,100,2.967,75,7,12,33
良,94,70,135,3.559,62,7,7,24
良,83,61,90,3.228,36,13,21,19
良,84,62,90,3.22,41,19,15,24
良,85,57,120,3.667,64,7,8,21
良,78,39,106,3.044,43,26,27,17
良,83,43,116,3.791,49,8,7,17
良,79,53,108,2.953,45,24,12,25
良,97,69,143,3.323,42,9,8,22
良,88,57,126,4.291,79,7,12,28
良,85,63,93,1.356,51,29,16,21
良,89,66,108,3.087,46,23,22,17
良,76,49,102,2.932,46,13,9,42
良,79,58,95,3.0,30,35,17,12
良,72,37,94,3.939,59,7,18,18
良,84,31,117,2.861,56,14,39,15
轻度污染,102,76,118,3.009,32,18,28,15
良,61,32,72,3.043,32,47,54,10
良,73,39,96,3.312,44,7,9,26
良,73,45,96,3.843,62,16,12,38
良,75,26,99,2.531,23,33,24,21
良,69,18,88,2.438,19,50,44,8
良,84,62,106,2.885,20,30,29,21
良,76,32,101,3.482,49,8,11,15
良,88,65,106,2.857,18,31,32,24
良,96,52,141,2.838,43,13,26,10
良,74,27,97,2.831,33,26,27,21
良,87,64,104,2.939,22,28,32,21
良,68,36,86,3.133,37,8,7,18
良,71,43,91,2.557,44,53,42,18
良,66,32,81,3.419,71,10,23,26
良,80,53,110,4.604,61,14,9,26
良,60,18,69,2.962,66,9,40,17
良,60,21,70,2.651,47,34,46,12
良,64,41,77,2.692,15,43,29,21
良,58,26,66,3.972,40,10,8,14
良,71,29,92,2.54,31,28,29,16
良,62,20,74,2.54,18,52,23,16
良,64,32,78,3.385,49,28,16,26
良,61,33,71,2.585,15,42,20,14
良,71,48,92,3.316,39,8,22,18
良,62,29,74,2.811,70,17,24,24
良,66,24,81,3.035,30,21,31,36
良,53,20,56,3.398,56,9,27,19
良,54,20,57,3.17,54,16,34,33
良,68,41,85,2.652,17,29,20,10
良,58,17,66,2.147,94,15,42,16
良,57,27,64,2.427,21,53,29,11
良,68,39,85,2.802,23,25,17,9
良,60,29,69,0.772,19,64,36,12
良,56,23,61,3.564,38,7,12,9
良,52,18,53,2.712,30,33,34,15
良,54,25,57,1.325,58,35,55,13
良,53,20,56,2.662,22,53,41,16
良,60,19,69,2.542,21,54,35,11
良,57,16,63,2.616,46,30,42,15
良,80,21,110,2.617,32,34,39,15
良,52,19,53,2.93,41,7,8,7
良,58,17,65,2.044,37,51,39,15
良,51,18,52,2.484,16,43,28,10
良,56,26,61,0.817,25,61,49,11
良,69,19,88,2.356,24,34,37,16
良,68,18,86,2.482,22,41,38,12
轻度污染,143,109,225,3.448,58,7,7,37
轻度污染,150,115,171,3.395,31,8,9,16
轻度污染,127,69,204,3.676,59,8,7,45
良,97,72,128,1.528,47,11,8,28
轻度污染,120,67,189,3.881,60,8,7,27
轻度污染,115,84,180,3.377,62,7,7,37
良,92,38,134,2.971,69,7,7,26
轻度污染,125,71,199,3.803,58,7,7,35
轻度污染,103,77,134,1.274,59,7,7,14
轻度污染,104,70,158,3.794,55,8,7,44
良,99,74,126,3.286,35,8,17,14
良,94,68,137,3.496,48,10,8,19
良,84,58,118,3.306,50,7,8,16
良,69,27,87,3.806,49,7,29,21
良,73,46,95,2.569,35,41,18,24
良,74,21,97,2.622,51,27,46,12
良,98,63,146,2.663,39,12,21,9
良,60,33,70,2.887,16,62,45,7
良,72,52,92,2.789,17,35,28,20
良,57,23,63,4.085,43,7,19,15
良,62,29,73,2.923,48,33,21,25
良,51,18,51,3.219,41,8,7,7
良,82,53,114,2.642,34,12,17,6
良,65,38,80,2.713,32,17,22,15
良,66,20,82,2.375,20,33,35,20
良,97,67,144,5.189,48,7,7,33
良,100,75,130,1.643,49,7,7,18
优,44,29,44,0.674,58,78,144,4
优,47,28,44,0.614,34,149,153,3
优,50,28,42,0.482,18,158,130,4
良,60,36,48,0.552,21,168,97,4
良,60,43,58,0.61,24,139,60,4
良,56,39,62,0.783,45,72,36,4
良,67,48,69,0.979,67,33,31,4
良,64,46,72,1.117,52,15,28,4
良,67,48,78,0.83,39,30,30,2
良,83,61,89,0.769,35,50,31,2
良,100,75,117,1.006,60,18,32,2
轻度污染,110,83,119,0.991,74,19,39,2
良,89,66,122,1.031,76,33,41,2
良,83,59,116,1.014,90,37,35,3
良,83,60,116,0.986,78,45,33,3
良,95,71,120,0.981,76,32,28,4
轻度污染,102,76,124,1.081,83,27,30,5
良,97,72,114,0.983,83,25,36,7
轻度污染,102,76,111,0.885,63,23,50,6
良,92,68,97,0.638,39,35,64,6
良,92,68,94,0.503,27,52,75,5
良,90,67,89,0.46,23,72,77,4
良,82,60,80,0.446,25,81,79,3
良,75,55,74,0.49,35,85,78,3
良,79,58,83,0.573,51,65,77,2
良,84,62,88,0.507,44,80,77,2
良,88,65,97,0.518,43,82,71,2
良,72,52,83,0.5,41,79,66,3
良,67,43,84,0.523,34,72,65,2
良,64,37,78,0.609,64,57,73,1
良,67,37,83,0.459,46,55,83,2
良,72,41,93,0.4,24,69,85,2
良,60,25,69,0.284,11,98,84,2
良,67,33,84,0.313,13,101,70,3
良,64,24,77,0.226,17,76,69,4
良,66,23,82,0.212,19,84,78,6
轻度污染,112,61,173,1.186,154,79,94,12
轻度污染,108,60,166,0.987,125,100,81,16
良,94,58,137,0.634,75,115,61,21
良,93,54,135,0.69,96,83,41,20
良,91,53,131,1.05,132,37,39,20
良,70,32,89,0.647,90,35,46,21
良,78,43,105,0.652,88,16,52,28
良,58,23,66,0.327,38,61,54,8
良,59,23,68,0.346,44,67,53,10
良,63,24,76,0.374,60,52,65,12
良,65,25,80,0.405,65,47,83,9
良,63,26,75,0.556,123,37,106,9
良,59,20,67,0.214,37,104,120,10
良,60,21,69,0.171,24,125,110,12
良,60,21,70,0.194,20,132,88,13
良,63,24,75,0.243,22,121,59,17
良,71,30,91,0.335,54,44,20,26
良,71,30,91,0.335,54,44,20,26
良,67,26,83,0.711,72,16,18,8
良,68,30,86,0.565,76,14,19,9
良,67,26,83,0.68,79,12,22,8
良,68,26,86,0.351,62,28,34,11
良,79,29,107,0.495,75,22,50,10
良,83,35,116,0.808,106,16,71,8
良,75,27,99,0.493,77,53,83,8
良,73,28,96,0.346,62,86,81,8
良,70,25,90,0.248,37,101,64,9
